             xPos,                zPres,               zSeqv,               zEeqv,               zSx,                 zSy,                 zSz,                 zSxy,                zSyz,                zSxz,                zEx,                 zEy,                 zEz,                 zExy,                zEyz,                zExz,                zUx,                 zUy,                 zUz     
             0.00000,        0.0000000000,      318.8951887698,        0.0173685872,      366.2155304682,       -0.6404122372,      210.2559898622,       -0.8373097672,        0.0091622185,        0.1428264420,       -0.0012691731,        0.0046049642,       -0.0003872587,       -0.0157156124,        0.0000025768,       -0.0000032486,        0.0019899802,        0.0003297859,        0.0000000000
             0.06154,        0.0000000000,      318.8849715303,        0.0173683714,      366.2046619196,       -0.6403034091,      210.2403634374,       -0.8365700854,        0.0155254463,        0.2247081458,       -0.0012690484,        0.0046053262,       -0.0003878803,       -0.0157151614,        0.0000044581,       -0.0000056134,        0.0019896700,        0.0003298169,       -0.0000234887
             0.12308,        0.0000000000,      318.8682997140,        0.0173680122,      366.1866176102,       -0.6404688877,      210.2135088194,       -0.8350558634,        0.0237693881,        0.3356246863,       -0.0012688398,        0.0046059401,       -0.0003889334,       -0.0157143745,        0.0000068672,       -0.0000087090,        0.0019891392,        0.0003298674,       -0.0000470208
             0.18462,        0.0000000000,      318.8397185274,        0.0173673864,      366.1552468881,       -0.6411437931,      210.1658018427,       -0.8321032098,        0.0355060844,        0.5004630666,       -0.0012684755,        0.0046070217,       -0.0003907880,       -0.0157129639,        0.0000102566,       -0.0000131621,        0.0019881990,        0.0003299543,       -0.0000706336
             0.24615,        0.0000000000,      318.7954783254,        0.0173664192,      366.1069551740,       -0.6416078163,      210.0969961241,       -0.8279757880,        0.0472864363,        0.6598435033,       -0.0012679937,        0.0046085860,       -0.0003934359,       -0.0157109280,        0.0000136388,       -0.0000177911,        0.0019868103,        0.0003300756,       -0.0000944157
             0.30769,        0.0000000000,      318.7434334525,        0.0173652827,      366.0501264279,       -0.6419139971,      210.0179186732,       -0.8232899629,        0.0590323383,        0.8162444648,       -0.0012674524,        0.0046103884,       -0.0003964768,       -0.0157086033,        0.0000170139,       -0.0000225146,        0.0019851956,        0.0003302139,       -0.0001182878
             0.36923,        0.0000000000,      318.6683245483,        0.0173637103,      365.9688792956,       -0.6409383558,      209.9154823487,       -0.8175604448,        0.0697682110,        0.9604786514,       -0.0012667372,        0.0046127854,       -0.0004005247,       -0.0157058840,        0.0000203140,       -0.0000275992,        0.0019829415,        0.0003303952,       -0.0001424922
             0.43077,        0.0000000000,      318.5826789843,        0.0173619735,      365.8763715676,       -0.6390390175,      209.8059222444,       -0.8108330753,        0.0792460375,        1.0993373157,       -0.0012659727,        0.0046154675,       -0.0004049963,       -0.0157031075,        0.0000235237,       -0.0000328440,        0.0019804021,        0.0003305775,       -0.0001668836
             0.49231,        0.0000000000,      318.4811009884,        0.0173599901,      365.7669729460,       -0.6357541336,      209.6856764703,       -0.8026089287,        0.0868367944,        1.2301326965,       -0.0012651343,        0.0046185772,       -0.0004101032,       -0.0157002449,        0.0000265977,       -0.0000383292,        0.0019774345,        0.0003307615,       -0.0001915554
             0.55385,        0.0000000000,      318.3689931306,        0.0173577140,      365.6433826407,       -0.6333895384,      209.5683161302,       -0.7931360900,        0.0903756582,        1.3509808693,       -0.0012642398,        0.0046220767,       -0.0004157188,       -0.0156969003,        0.0000294191,       -0.0000441506,        0.0019738669,        0.0003309401,       -0.0002166357
             0.61538,        0.0000000000,      318.2507160038,        0.0173553034,      365.5118732142,       -0.6306967211,      209.4570975379,       -0.7844058059,        0.0916661255,        1.4684733451,       -0.0012633320,        0.0046257124,       -0.0004214914,       -0.0156935329,        0.0000321055,       -0.0000500508,        0.0019700268,        0.0003311115,       -0.0002419074
             0.67692,        0.0000000000,      318.1078789569,        0.0173525610,      365.3516667482,       -0.6222890403,      209.3924983730,       -0.7861045897,        0.0848767032,        1.5856061721,       -0.0012624729,        0.0046294049,       -0.0004271512,       -0.0156914057,        0.0000343350,       -0.0000556518,        0.0019655335,        0.0003312342,       -0.0002676772
             0.73846,        0.0000000000,      317.9707292374,        0.0173492646,      365.1833830368,       -0.6181787100,      209.4223484895,       -0.7805502770,        0.0662222038,        1.7215264813,       -0.0012615708,        0.0046323281,       -0.0004316644,       -0.0156888832,        0.0000360502,       -0.0000601164,        0.0019606785,        0.0003314974,       -0.0002936651
             0.80000,        0.0000000000,      317.8407269982,        0.0173452910,      365.0052271365,       -0.6193206970,      209.5676366167,       -0.7661310685,        0.0330659432,        1.8804092687,       -0.0012606164,        0.0046343111,       -0.0004347761,       -0.0156858777,        0.0000371367,       -0.0000631920,        0.0019553813,        0.0003319321,       -0.0003199194
             0.86154,        0.0000000000,      317.5667301626,        0.0173425978,      364.6487919960,       -0.6109064742,      209.7674916870,       -0.7736620562,        0.2701832591,        2.2837098207,       -0.0012530936,        0.0046275763,       -0.0004363227,       -0.0157224349,        0.0000545330,       -0.0000525314,        0.0019497935,        0.0003322947,       -0.0003459022
             0.92308,        0.0000000000,      317.2875107706,        0.0173411048,      364.4212278316,       -0.4758654586,      209.9677396903,       -0.7588559662,        0.5769279007,        2.7385245972,       -0.0012276583,        0.0046081180,       -0.0004417479,       -0.0158017227,        0.0000758871,       -0.0000390379,        0.0019449090,        0.0003343573,       -0.0003715593
