             xPos,                zPres,               zSeqv,               zEeqv,               zSx,                 zSy,                 zSz,                 zSxy,                zSyz,                zSxz,                zEx,                 zEy,                 zEz,                 zExy,                zEyz,                zExz,                zUx,                 zUy,                 zUz     
             0.00000,        0.0000000000,      316.6419997478,        0.0173888458,      366.6694153404,        2.3506513450,      211.2667470505,       -0.1809390805,        0.0091759741,        0.0694283082,       -0.0008359554,        0.0043453270,       -0.0005380232,       -0.0167664670,        0.0000028251,       -0.0000062426,        0.0019215803,        0.0004567245,        0.0000000000
             0.05385,        0.0000000000,      316.6298630394,        0.0173885251,      366.6568691601,        2.3519923073,      211.2589679037,       -0.1809119338,        0.0136991393,        0.1059695114,       -0.0008358234,        0.0043457232,       -0.0005386486,       -0.0167658881,        0.0000043950,       -0.0000098595,        0.0019211383,        0.0004567000,       -0.0000286172
             0.10769,        0.0000000000,      316.6131721424,        0.0173880932,      366.6391381617,        2.3534736233,      211.2488736718,       -0.1808196836,        0.0185892682,        0.1502553712,       -0.0008356496,        0.0043462537,       -0.0005394878,       -0.0167651092,        0.0000061672,       -0.0000140075,        0.0019205491,        0.0004566683,       -0.0000572470
             0.16154,        0.0000000000,      316.5747241498,        0.0173871304,      366.5966590110,        2.3556248746,      211.2277290858,       -0.1804166810,        0.0252309869,        0.2315079944,       -0.0008352761,        0.0043474248,       -0.0005413474,       -0.0167633763,        0.0000089057,       -0.0000206909,        0.0019192576,        0.0004566022,       -0.0000859376
             0.21538,        0.0000000000,      316.5319386394,        0.0173859990,      366.5515263070,        2.3605601198,      211.2097756090,       -0.1824535728,        0.0287018473,        0.3208099156,       -0.0008347377,        0.0043488302,       -0.0005435891,       -0.0167613014,        0.0000116260,       -0.0000269714,        0.0019176659,        0.0004565266,       -0.0001147306
             0.26923,        0.0000000000,      316.4809420354,        0.0173845493,      366.5013874149,        2.3707476419,      211.1978424723,       -0.1890935646,        0.0261905732,        0.4252976257,       -0.0008338882,        0.0043506775,       -0.0005465516,       -0.0167585815,        0.0000143119,       -0.0000324915,        0.0019155082,        0.0004564329,       -0.0001437171
             0.32308,        0.0000000000,      316.4330897367,        0.0173828067,      366.4495236160,        2.3741309835,      211.1635637987,       -0.1932657533,        0.0168502850,        0.5666660893,       -0.0008320056,        0.0043525682,       -0.0005507487,       -0.0167549192,        0.0000165695,       -0.0000363798,        0.0019129664,        0.0004563224,       -0.0001728281
             0.37692,        0.0000000000,      316.3882975199,        0.0173807933,      366.3960653154,        2.3712245501,      211.1086289413,       -0.1951567082,        0.0011972657,        0.7421270709,       -0.0008291680,        0.0043544990,       -0.0005560869,       -0.0167503857,        0.0000184312,       -0.0000387595,        0.0019100697,        0.0004561963,       -0.0002020543
             0.43077,        0.0000000000,      316.4721161206,        0.0173806243,      366.5252595694,        2.3832539434,      210.9568163359,       -0.3022320744,       -0.1448996555,        0.8807960509,       -0.0008223422,        0.0043568772,       -0.0005653451,       -0.0167490148,        0.0000142726,       -0.0000434465,        0.0019066922,        0.0004561778,       -0.0002318952
             0.48462,        0.0000000000,      316.6137811027,        0.0173812728,      366.7354235124,        2.4019043733,      210.7620579246,       -0.4559355816,       -0.3488222239,        1.0031551744,       -0.0008137485,        0.0043594538,       -0.0005763409,       -0.0167490459,        0.0000074453,       -0.0000491562,        0.0019031015,        0.0004562070,       -0.0002620085
