             xPos,                zPres,               zSeqv,               zEeqv,               zSx,                 zSy,                 zSz,                 zSxy,                zSyz,                zSxz,                zEx,                 zEy,                 zEz,                 zExy,                zEyz,                zExz,                zUx,                 zUy,                 zUz     
             0.00000,        0.0000000000,      311.3512148775,        0.0173524369,      359.1938239689,        0.0204470500,      193.1795640488,        0.4509224649,        0.0477000994,       -0.4529011141,       -0.0007822849,        0.0047814338,       -0.0011706259,       -0.0164715189,        0.0000028478,       -0.0000227533,        0.0015565267,        0.0006173799,        0.0000000000
             0.03846,        0.0000000000,      311.3094654678,        0.0173509641,      359.1447675415,        0.0200273080,      193.1398205800,        0.4530450034,        0.0672808507,       -0.6366462868,       -0.0007822935,        0.0047816415,       -0.0011712820,       -0.0164701907,        0.0000039234,       -0.0000319750,        0.0015556946,        0.0006170614,       -0.0000445303
             0.07692,        0.0000000000,      311.2680460210,        0.0173494913,      359.0957111141,        0.0196075659,      193.1000771111,        0.4551675419,        0.0868616019,       -0.8203914594,       -0.0007823021,        0.0047818492,       -0.0011719380,       -0.0164688625,        0.0000049990,       -0.0000411967,        0.0015548625,        0.0006167429,       -0.0000890606
             0.11538,        0.0000000000,      311.1896987348,        0.0173481850,      359.0022114821,        0.0181631801,      193.0240100217,        0.4591708972,        0.1160557789,       -1.0911884176,       -0.0007826092,        0.0047842753,       -0.0011749328,       -0.0164665689,        0.0000060173,       -0.0000536418,        0.0015531900,        0.0006161145,       -0.0001336041
             0.15385,        0.0000000000,      311.0720428048,        0.0173470592,      358.8605650451,        0.0156087635,      192.9085923432,        0.4652118041,        0.1556645005,       -1.4562914768,       -0.0007832395,        0.0047891046,       -0.0011804611,       -0.0164632295,        0.0000069734,       -0.0000695788,        0.0015506073,        0.0006151503,       -0.0001781618
             0.19231,        0.0000000000,      310.9556965823,        0.0173459333,      358.7189186081,        0.0130543469,      192.7931746648,        0.4712527109,        0.1952732221,       -1.8213945361,       -0.0007838699,        0.0047939339,       -0.0011859894,       -0.0164598901,        0.0000079296,       -0.0000855159,        0.0015480246,        0.0006141861,       -0.0002227194
             0.23077,        0.0000000000,      310.7532731848,        0.0173488955,      358.4812463064,        0.0141943386,      192.6008870004,        0.4794847385,        0.2350807941,       -2.1957324240,       -0.0007853425,        0.0048042555,       -0.0011970341,       -0.0164612990,        0.0000094398,       -0.0001009286,        0.0015443179,        0.0006125295,       -0.0002681772
             0.26923,        0.0000000000,      310.5486034982,        0.0173520281,      358.2395729271,        0.0154882639,      192.4053964201,        0.4878080628,        0.2748966515,       -2.5704550965,       -0.0007868501,        0.0048148059,       -0.0012083087,       -0.0164629057,        0.0000109730,       -0.0001163194,        0.0015405643,        0.0006108441,       -0.0003136725
             0.30769,        0.0000000000,      310.3093670645,        0.0173530726,      357.9566234933,        0.0164485249,      192.1696674896,        0.5001934086,        0.3129635190,       -2.9545036110,       -0.0007873345,        0.0048238686,       -0.0012195380,       -0.0164645551,        0.0000140842,       -0.0001332542,        0.0015360794,        0.0006088305,       -0.0003598275
             0.34615,        0.0000000000,      310.0258927350,        0.0173514598,      357.6211408994,        0.0169841221,      191.8827261137,        0.5177486000,        0.3488043995,       -3.3504213791,       -0.0007865164,        0.0048310378,       -0.0012307097,       -0.0164662588,        0.0000192037,       -0.0001521541,        0.0015306634,        0.0006063992,       -0.0004068220
             0.38462,        0.0000000000,      309.7440120705,        0.0173498469,      357.2856583055,        0.0175197193,      191.5957847378,        0.5353037914,        0.3846452799,       -3.7463391471,       -0.0007856984,        0.0048382070,       -0.0012418814,       -0.0164679624,        0.0000243233,       -0.0001710541,        0.0015252474,        0.0006039679,       -0.0004538165
             0.42308,        0.0000000000,      309.3824882632,        0.0173410577,      356.8530550606,        0.0148548782,      191.2198644136,        0.5559774452,        0.4214693755,       -4.1816461296,       -0.0007843374,        0.0048446565,       -0.0012538457,       -0.0164599688,        0.0000281470,       -0.0001904898,        0.0015178156,        0.0006008348,       -0.0005014850
             0.46154,        0.0000000000,      309.0158812177,        0.0173316444,      356.4120065417,        0.0119117382,      190.8362067895,        0.5769222697,        0.4583789681,       -4.6203782612,       -0.0007829292,        0.0048510435,       -0.0012658789,       -0.0164511320,        0.0000318581,       -0.0002099722,        0.0015102085,        0.0005976406,       -0.0005492121
             0.50000,        0.0000000000,      308.6109228484,        0.0173208434,      355.9244869861,        0.0095744392,      190.4179222808,        0.5987292187,        0.4961064785,       -5.0759064583,       -0.0007817707,        0.0048595614,       -0.0012802053,       -0.0164374459,        0.0000349814,       -0.0002291999,        0.0015019006,        0.0005941022,       -0.0005974841
             0.53846,        0.0000000000,      308.1477407866,        0.0173079606,      355.3672608756,        0.0081459019,      189.9476974450,        0.6218293546,        0.5350608656,       -5.5566287538,       -0.0007809870,        0.0048712755,       -0.0012979715,       -0.0164164857,        0.0000372229,       -0.0002480455,        0.0014925415,        0.0005900474,       -0.0006465737
             0.57692,        0.0000000000,      307.6870060995,        0.0172950778,      354.8100347651,        0.0067173646,      189.4774726093,        0.6449294906,        0.5740152526,       -6.0373510492,       -0.0007802032,        0.0048829897,       -0.0013157377,       -0.0163955256,        0.0000394645,       -0.0002668910,        0.0014831824,        0.0005859926,       -0.0006956632
             0.61538,        0.0000000000,      307.1442724998,        0.0172808227,      354.1541565820,        0.0065030535,      188.9323903373,        0.6739130554,        0.6131881946,       -6.5630771199,       -0.0007797292,        0.0049003859,       -0.0013397586,       -0.0163667777,        0.0000412468,       -0.0002870329,        0.0014720830,        0.0005810598,       -0.0007466044
             0.65385,        0.0000000000,      306.5930318121,        0.0172663804,      353.4848258435,        0.0064543186,      188.3771002331,        0.7036989060,        0.6523909394,       -7.0949400691,       -0.0007792974,        0.0049185569,       -0.0013646324,       -0.0163369677,        0.0000429664,       -0.0003073516,        0.0014607464,        0.0005760073,       -0.0007977981
             0.69231,        0.0000000000,      306.0043152542,        0.0172506055,      352.7667436707,        0.0062110311,      187.7888403966,        0.7353406177,        0.6925177364,       -7.6500787262,       -0.0007791711,        0.0049369583,       -0.0013898504,       -0.0163053777,        0.0000448938,       -0.0003282301,        0.0014486853,        0.0005705479,       -0.0008499590
             0.73077,        0.0000000000,      305.3471567599,        0.0172324614,      351.9619922816,        0.0056218722,      187.1419677026,        0.7702816382,        0.7342872927,       -8.2465964196,       -0.0007795880,        0.0049557692,       -0.0014156804,       -0.0162706230,        0.0000471904,       -0.0003501039,        0.0014353363,        0.0005643652,       -0.0009038396
             0.76923,        0.0000000000,      304.6939011648,        0.0172143173,      351.1572408925,        0.0050327134,      186.4950950087,        0.8052226586,        0.7760568491,       -8.8431141130,       -0.0007800048,        0.0049745801,       -0.0014415103,       -0.0162358683,        0.0000494870,       -0.0003719777,        0.0014219873,        0.0005581824,       -0.0009577201
             0.80769,        0.0000000000,      303.9454531888,        0.0171948995,      350.2259492693,       -0.0007567569,      185.7601603216,        0.8452671295,        0.8226244899,       -9.5085071348,       -0.0007800142,        0.0050004166,       -0.0014758990,       -0.0161918547,        0.0000513791,       -0.0003945055,        0.0014067588,        0.0005509031,       -0.0010135705
