             xPos,                zPres,               zSeqv,               zEeqv,               zSx,                 zSy,                 zSz,                 zSxy,                zSyz,                zSxz,                zEx,                 zEy,                 zEz,                 zExy,                zEyz,                zExz,                zUx,                 zUy,                 zUz     
             0.00000,        0.0000000000,      226.8302349529,        0.0164261322,      259.5111441127,       -0.3587513113,      104.0573011072,        4.7066529996,        0.2548958216,       -5.3171702913,       -0.0006335057,        0.0079276727,       -0.0054343579,       -0.0129293590,        0.0000623232,       -0.0001307325,        0.0003827424,        0.0003400946,        0.0000000000
             0.01538,        0.0000000000,      226.4539621465,        0.0164263961,      259.0151960455,       -0.3631232673,      103.9630764307,        4.6925957580,        0.2939122140,       -6.1633951830,       -0.0006338299,        0.0079424114,       -0.0054518168,       -0.0129072010,        0.0000723554,       -0.0001459508,        0.0003803836,        0.0003374179,       -0.0000836912
             0.03077,        0.0000000000,      226.0874973454,        0.0164266600,      258.5192479784,       -0.3674952233,      103.8688517542,        4.6785385163,        0.3329286064,       -7.0096200747,       -0.0006341540,        0.0079571500,       -0.0054692757,       -0.0128850430,        0.0000823876,       -0.0001611691,        0.0003780248,        0.0003347413,       -0.0001673825
             0.04615,        0.0000000000,      225.7308883183,        0.0164269239,      258.0232999112,       -0.3718671793,      103.7746270777,        4.6644812747,        0.3719449988,       -7.8558449664,       -0.0006344782,        0.0079718886,       -0.0054867346,       -0.0128628850,        0.0000924199,       -0.0001763874,        0.0003756661,        0.0003320646,       -0.0002510737
             0.06154,        0.0000000000,      225.3841818473,        0.0164271879,      257.5273518440,       -0.3762391353,      103.6804024012,        4.6504240331,        0.4109613912,       -8.7020698581,       -0.0006348024,        0.0079866272,       -0.0055041935,       -0.0128407270,        0.0001024521,       -0.0001916057,        0.0003733073,        0.0003293879,       -0.0003347649
             0.07692,        0.0000000000,      225.0474236999,        0.0164274518,      257.0314037768,       -0.3806110913,      103.5861777246,        4.6363667915,        0.4499777836,       -9.5482947498,       -0.0006351265,        0.0080013658,       -0.0055216524,       -0.0128185691,        0.0001124843,       -0.0002068240,        0.0003709486,        0.0003267113,       -0.0004184561
             0.09231,        0.0000000000,      224.7206586008,        0.0164277157,      256.5354557097,       -0.3849830473,      103.4919530481,        4.6223095499,        0.4889941761,      -10.3945196415,       -0.0006354507,        0.0080161044,       -0.0055391113,       -0.0127964111,        0.0001225165,       -0.0002220423,        0.0003685898,        0.0003240346,       -0.0005021474
             0.10769,        0.0000000000,      223.9750916521,        0.0164324204,      255.5042940890,       -0.3942440201,      103.3234475623,        4.6125261454,        0.5532706655,      -11.5452943235,       -0.0006360435,        0.0080421933,       -0.0055707978,       -0.0127850577,        0.0001379381,       -0.0002415036,        0.0003648686,        0.0003192847,       -0.0005871733
             0.12308,        0.0000000000,      222.6168242509,        0.0164437863,      253.6703121381,       -0.4108385182,      103.0435208626,        4.6091534967,        0.6554373005,      -13.1528936909,       -0.0006370393,        0.0080853077,       -0.0056238255,       -0.0127899111,        0.0001614437,       -0.0002673292,        0.0003591038,        0.0003114251,       -0.0006742013
             0.13846,        0.0000000000,      221.2984759956,        0.0164551522,      251.8363301872,       -0.4274330162,      102.7635941628,        4.6057808480,        0.7576039355,      -14.7604930583,       -0.0006380350,        0.0081284220,       -0.0056768533,       -0.0127947645,        0.0001849494,       -0.0002931548,        0.0003533389,        0.0003035654,       -0.0007612293
             0.15385,        0.0000000000,      220.0207644652,        0.0164665182,      250.0023482362,       -0.4440275143,      102.4836674630,        4.6024081992,        0.8597705705,      -16.3680924257,       -0.0006390308,        0.0081715364,       -0.0057298811,       -0.0127996179,        0.0002084550,       -0.0003189804,        0.0003475741,        0.0002957057,       -0.0008482574
             0.16923,        0.0000000000,      218.7844016222,        0.0164778841,      248.1683662853,       -0.4606220124,      102.2037407633,        4.5990355505,        0.9619372055,      -17.9756917931,       -0.0006400266,        0.0082146508,       -0.0057829088,       -0.0128044713,        0.0002319606,       -0.0003448060,        0.0003418092,        0.0002878460,       -0.0009352854
             0.18462,        0.0000000000,      217.5900923066,        0.0164892500,      246.3343843344,       -0.4772165104,      101.9238140635,        4.5956629018,        1.0641038405,      -19.5832911605,       -0.0006410223,        0.0082577651,       -0.0058359366,       -0.0128093247,        0.0002554662,       -0.0003706316,        0.0003360444,        0.0002799863,       -0.0010223134
             0.20000,        0.0000000000,      216.4385326745,        0.0165006159,      244.5004023835,       -0.4938110085,      101.6438873637,        4.5922902530,        1.1662704755,      -21.1908905279,       -0.0006420181,        0.0083008795,       -0.0058889643,       -0.0128141781,        0.0002789718,       -0.0003964572,        0.0003302795,        0.0002721266,       -0.0011093414
             0.21538,        0.0000000000,      214.5598621067,        0.0165143332,      241.7404611924,       -0.5557303064,      101.1186658447,        4.5896356927,        1.3219313130,      -22.7866142507,       -0.0006436254,        0.0083630524,       -0.0059666686,       -0.0128015313,        0.0003084279,       -0.0004154836,        0.0003223831,        0.0002603293,       -0.0012022675
             0.23077,        0.0000000000,      212.5382631702,        0.0165286383,      238.7490301914,       -0.6289808043,      100.5321206208,        4.5871606545,        1.4909657011,      -24.3793690623,       -0.0006453856,        0.0084299900,       -0.0060505421,       -0.0127845094,        0.0003393715,       -0.0004328103,        0.0003139537,        0.0002475475,       -0.0012966682
             0.24615,        0.0000000000,      210.5683917399,        0.0165429435,      235.7575991903,       -0.7022313021,       99.9455753969,        4.5846856163,        1.6600000892,      -25.9721238740,       -0.0006471458,        0.0084969276,       -0.0061344155,       -0.0127674875,        0.0003703151,       -0.0004501370,        0.0003055243,        0.0002347658,       -0.0013910688
             0.26154,        0.0000000000,      208.6517128922,        0.0165572486,      232.7661681892,       -0.7754818000,       99.3590301730,        4.5822105781,        1.8290344773,      -27.5648786856,       -0.0006489060,        0.0085638652,       -0.0062182890,       -0.0127504657,        0.0004012587,       -0.0004674636,        0.0002970949,        0.0002219840,       -0.0014854695
             0.27692,        0.0000000000,      206.7897057160,        0.0165715537,      229.7747371881,       -0.8487322979,       98.7724849491,        4.5797355399,        1.9980688653,      -29.1576334973,       -0.0006506662,        0.0086308028,       -0.0063021624,       -0.0127334438,        0.0004322023,       -0.0004847903,        0.0002886655,        0.0002092022,       -0.0015798701
             0.29231,        0.0000000000,      204.9838600762,        0.0165858588,      226.7833061871,       -0.9219827957,       98.1859397252,        4.5772605017,        2.1671032534,      -30.7503883089,       -0.0006524264,        0.0086977404,       -0.0063860359,       -0.0127164219,        0.0004631459,       -0.0005021170,        0.0002802361,        0.0001964205,       -0.0016742708
             0.30769,        0.0000000000,      203.0866943813,        0.0165967582,      223.6020154526,       -1.0070123991,       97.4763299213,        4.5699729908,        2.3713183334,      -32.3354588433,       -0.0006543959,        0.0087680985,       -0.0064747831,       -0.0126761211,        0.0004958012,       -0.0005152966,        0.0002713314,        0.0001826850,       -0.0017705315
             0.32308,        0.0000000000,      200.6561625600,        0.0165940343,      219.6612857848,       -1.1391584244,       96.2744617974,        4.5434355893,        2.7162561810,      -33.8897922690,       -0.0006572029,        0.0088521383,       -0.0065830252,       -0.0125427044,        0.0005353034,       -0.0005118881,        0.0002605255,        0.0001651347,       -0.0018742328
             0.33846,        0.0000000000,      198.2925881662,        0.0165913105,      215.7205561170,       -1.2713044498,       95.0725936735,        4.5168981877,        3.0611940285,      -35.4441256947,       -0.0006600098,        0.0089361782,       -0.0066912673,       -0.0124092877,        0.0005748057,       -0.0005084797,        0.0002497195,        0.0001475845,       -0.0019779341
             0.35385,        0.0000000000,      195.9983935643,        0.0165885867,      211.7798264491,       -1.4034504751,       93.8707255496,        4.4903607862,        3.4061318761,      -36.9984591204,       -0.0006628168,        0.0090202180,       -0.0067995094,       -0.0122758710,        0.0006143079,       -0.0005050712,        0.0002389135,        0.0001300342,       -0.0020816355
             0.36923,        0.0000000000,      193.7760430180,        0.0165858629,      207.8390967813,       -1.5355965004,       92.6688574257,        4.4638233847,        3.7510697236,      -38.5527925461,       -0.0006656237,        0.0091042579,       -0.0069077515,       -0.0121424544,        0.0006538101,       -0.0005016628,        0.0002281076,        0.0001124840,       -0.0021853368
             0.38462,        0.0000000000,      191.6280361154,        0.0165831391,      203.8983671134,       -1.6677425257,       91.4669893018,        4.4372859831,        4.0960075712,      -40.1071259717,       -0.0006684307,        0.0091882977,       -0.0070159936,       -0.0120090377,        0.0006933123,       -0.0004982543,        0.0002173016,        0.0000949337,       -0.0022890381
