             xPos,                zPres,               zSeqv,               zEeqv,               zSx,                 zSy,                 zSz,                 zSxy,                zSyz,                zSxz,                zEx,                 zEy,                 zEz,                 zExy,                zEyz,                zExz,                zUx,                 zUy,                 zUz     
             0.00000,        0.0000000000,      322.8558372220,        0.0182408183,      371.9567552483,        0.8554145093,      217.2019427149,        0.3058163253,        0.0024275044,        0.1553063651,       -0.0012528595,        0.0044890686,       -0.0002150525,       -0.0174057343,        0.0000017619,       -0.0000021703,        0.0020421402,        0.0001999280,        0.0000000000
             0.07692,        0.0000000000,      322.8501615186,        0.0182406925,      371.9505026156,        0.8554593229,      217.1938866007,        0.3060868441,        0.0052346200,        0.2692024839,       -0.0012527822,        0.0044892689,       -0.0002154029,       -0.0174054708,        0.0000035168,       -0.0000041813,        0.0020419679,        0.0001999954,       -0.0000160009
             0.15385,        0.0000000000,      322.8371359509,        0.0182404012,      371.9357337414,        0.8552917980,      217.1749174214,        0.3067803206,        0.0091907082,        0.4623172481,       -0.0012525962,        0.0044897379,       -0.0002162315,       -0.0174048499,        0.0000061547,       -0.0000073107,        0.0020415604,        0.0002001534,       -0.0000320479
             0.23077,        0.0000000000,      322.8169134363,        0.0182399443,      371.9124158272,        0.8548799488,      217.1451153068,        0.3078700069,        0.0136766280,        0.6917645829,       -0.0012523022,        0.0044904800,       -0.0002175420,       -0.0174038691,        0.0000092107,       -0.0000109838,        0.0020409160,        0.0002004000,       -0.0000481688
             0.30769,        0.0000000000,      322.7893800353,        0.0182393199,      371.8804986202,        0.8542009190,      217.1045394657,        0.3093315861,        0.0181484456,        0.9193841376,       -0.0012519007,        0.0044914984,       -0.0002193369,       -0.0174025248,        0.0000122715,       -0.0000146893,        0.0020400330,        0.0002007333,       -0.0000643911
             0.38462,        0.0000000000,      322.7507738628,        0.0182384125,      371.8359646489,        0.8532706373,      217.0484821978,        0.3113059628,        0.0227452331,        1.1435334264,       -0.0012513475,        0.0044928842,       -0.0002217956,       -0.0174006312,        0.0000153383,       -0.0000184357,        0.0020388038,        0.0002011815,       -0.0000808172
             0.46154,        0.0000000000,      322.7037601033,        0.0182372844,      371.7814614877,        0.8518745890,      216.9804497537,        0.3136184765,        0.0275892261,        1.3641968206,       -0.0012506764,        0.0044945717,       -0.0002247886,       -0.0173982651,        0.0000184783,       -0.0000222946,        0.0020373101,        0.0002017083,       -0.0000974496
             0.53846,        0.0000000000,      322.6481534196,        0.0182358063,      371.7172601979,        0.8505027686,      216.9010876317,        0.3158790359,        0.0324541786,        1.5812730755,       -0.0012499085,        0.0044963322,       -0.0002280591,       -0.0173954738,        0.0000215690,       -0.0000262626,        0.0020355592,        0.0002023037,       -0.0001143099
             0.61538,        0.0000000000,      322.5835212728,        0.0182338808,      371.6429913411,        0.8492671313,      216.8103285743,        0.3179391720,        0.0372638144,        1.7945345582,       -0.0012490534,        0.0044980079,       -0.0002314411,       -0.0173922722,        0.0000245209,       -0.0000303379,        0.0020335473,        0.0002029640,       -0.0001314124
             0.69231,        0.0000000000,      322.5069945671,        0.0182313675,      371.5533615356,        0.8460551505,      216.7036082301,        0.3208589873,        0.0427340957,        2.0024197690,       -0.0012480766,        0.0044994703,       -0.0002349024,       -0.0173885169,        0.0000272181,       -0.0000345221,        0.0020311935,        0.0002037120,       -0.0001487498
             0.76923,        0.0000000000,      322.4189855720,        0.0182287725,      371.4505426455,        0.8423423524,      216.5815718124,        0.3237623816,        0.0494889207,        2.2026315972,       -0.0012470774,        0.0045018375,       -0.0002394392,       -0.0173838639,        0.0000304009,       -0.0000394229,        0.0020285363,        0.0002045261,       -0.0001664524
             0.84615,        0.0000000000,      322.3205502686,        0.0182258630,      371.3368583435,        0.8390978939,      216.4448933719,        0.3271012461,        0.0572812352,        2.3959078308,       -0.0012459131,        0.0045046146,       -0.0002446791,       -0.0173785830,        0.0000335664,       -0.0000447097,        0.0020255698,        0.0002053954,       -0.0001844958
