             xPos,                zPres,               zSeqv,               zEeqv,               zSx,                 zSy,                 zSz,                 zSxy,                zSyz,                zSxz,                zEx,                 zEy,                 zEz,                 zExy,                zEyz,                zExz,                zUx,                 zUy,                 zUz     
             0.00000,        0.0000000000,      283.9541907941,        0.0169534588,      327.2862656025,       -0.1183969100,      149.2557076624,        2.1644411096,        0.1365001653,       -2.2519845647,       -0.0006861192,        0.0059512153,       -0.0028255781,       -0.0153536032,        0.0000050127,       -0.0000601311,        0.0008896473,        0.0006229237,        0.0000000000
             0.02308,        0.0000000000,      283.8610492005,        0.0169514384,      327.1583240564,       -0.1198004779,      149.1825665964,        2.1715924746,        0.1708607174,       -2.8338022854,       -0.0006863744,        0.0059551528,       -0.0028302971,       -0.0153458074,        0.0000067233,       -0.0000756571,        0.0008882958,        0.0006215883,       -0.0000647416
             0.04615,        0.0000000000,      283.7715113608,        0.0169494180,      327.0303825102,       -0.1212040459,      149.1094255305,        2.1787438397,        0.2052212695,       -3.4156200062,       -0.0006866296,        0.0059590902,       -0.0028350161,       -0.0153380116,        0.0000084340,       -0.0000911831,        0.0008869443,        0.0006202529,       -0.0001294833
             0.06923,        0.0000000000,      283.6855806873,        0.0169473976,      326.9024409641,       -0.1226076138,      149.0362844645,        2.1858952047,        0.2395818215,       -3.9974377269,       -0.0006868848,        0.0059630277,       -0.0028397352,       -0.0153302158,        0.0000101446,       -0.0001067091,        0.0008855928,        0.0006189175,       -0.0001942249
             0.09231,        0.0000000000,      283.6032604589,        0.0169453772,      326.7744994179,       -0.1240111818,      148.9631433985,        2.1930465698,        0.2739423736,       -4.5792554477,       -0.0006871401,        0.0059669652,       -0.0028444542,       -0.0153224200,        0.0000118553,       -0.0001222351,        0.0008842412,        0.0006175821,       -0.0002589666
             0.11538,        0.0000000000,      283.3424104261,        0.0169402791,      326.3962898566,       -0.1255101931,      148.7462841079,        2.2128464111,        0.3428611562,       -5.7291077120,       -0.0006879095,        0.0059802368,       -0.0028600111,       -0.0152983275,        0.0000156113,       -0.0001532045,        0.0008801682,        0.0006136134,       -0.0003246210
             0.13846,        0.0000000000,      283.0897886811,        0.0169350748,      326.0094503637,       -0.1270124955,      148.5244690164,        2.2330824067,        0.4129716019,       -6.8985473743,       -0.0006886967,        0.0059938302,       -0.0028759416,       -0.0152736730,        0.0000194378,       -0.0001847065,        0.0008760013,        0.0006095539,       -0.0003903068
             0.16154,        0.0000000000,      282.8518995960,        0.0169298706,      325.6226108708,       -0.1285147980,      148.3026539249,        2.2533184024,        0.4830820475,       -8.0679870367,       -0.0006894839,        0.0060074237,       -0.0028918722,       -0.0152490185,        0.0000232643,       -0.0002162084,        0.0008718343,        0.0006054944,       -0.0004559926
             0.18462,        0.0000000000,      282.6287803722,        0.0169246663,      325.2357713779,       -0.1300171005,      148.0808388334,        2.2735543981,        0.5531924932,       -9.2374266990,       -0.0006902711,        0.0060210172,       -0.0029078027,       -0.0152243640,        0.0000270909,       -0.0002477104,        0.0008676674,        0.0006014350,       -0.0005216785
             0.20769,        0.0000000000,      282.2062351975,        0.0169172312,      324.5915943053,       -0.1325669689,      147.7163545685,        2.3055196660,        0.6254044335,      -10.4605936537,       -0.0006915813,        0.0060452399,       -0.0029358931,       -0.0151822349,        0.0000318852,       -0.0002805421,        0.0008607540,        0.0005947193,       -0.0005892846
             0.23077,        0.0000000000,      281.7849118793,        0.0169096366,      323.9290359769,       -0.1351916635,      147.3416796482,        2.3383227390,        0.6977664806,      -11.6875982720,       -0.0006929289,        0.0060702219,       -0.0029648520,       -0.0151388575,        0.0000367486,       -0.0003134688,        0.0008536444,        0.0005878139,       -0.0006570278
             0.25385,        0.0000000000,      281.3802442742,        0.0169020421,      323.2664776486,       -0.1378163581,      146.9670047280,        2.3711258121,        0.7701285277,      -12.9146028904,       -0.0006942766,        0.0060952039,       -0.0029938109,       -0.0150954802,        0.0000416121,       -0.0003463956,        0.0008465349,        0.0005809085,       -0.0007247711
             0.27692,        0.0000000000,      280.9923043417,        0.0168944476,      322.6039193202,       -0.1404410528,      146.5923298077,        2.4039288852,        0.8424905747,      -14.1416075088,       -0.0006956242,        0.0061201859,       -0.0030227699,       -0.0150521029,        0.0000464755,       -0.0003793223,        0.0008394253,        0.0005740031,       -0.0007925143
             0.30000,        0.0000000000,      280.4023237386,        0.0168851940,      321.6717574764,       -0.1432376092,      146.0698006918,        2.4458453912,        0.9208652916,      -15.4421206900,       -0.0006973428,        0.0061563215,       -0.0030646499,       -0.0149900579,        0.0000530891,       -0.0004129431,        0.0008295506,        0.0005643470,       -0.0008633063
             0.32308,        0.0000000000,      279.8074727165,        0.0168757561,      320.7096396863,       -0.1460532613,      145.5308433320,        2.4887745008,        0.9999080829,      -16.7508014892,       -0.0006991028,        0.0061936965,       -0.0031079656,       -0.0149259388,        0.0000598972,       -0.0004466410,        0.0008193686,        0.0005543852,       -0.0009344370
             0.34615,        0.0000000000,      279.2323255068,        0.0168663181,      319.7475218963,       -0.1488689135,      144.9918859721,        2.5317036105,        1.0789508742,      -18.0594822884,       -0.0007008627,        0.0062310714,       -0.0031512813,       -0.0148618197,        0.0000667053,       -0.0004803389,        0.0008091867,        0.0005444234,       -0.0010055677
             0.36923,        0.0000000000,      278.6770041065,        0.0168568802,      318.7854041063,       -0.1516845656,      144.4529286122,        2.5746327202,        1.1579936656,      -19.3681630877,       -0.0007026226,        0.0062684463,       -0.0031945970,       -0.0147977005,        0.0000735134,       -0.0005140368,        0.0007990047,        0.0005344616,       -0.0010766984
             0.39231,        0.0000000000,      277.7657505492,        0.0168431788,      317.3168382739,       -0.2080685642,      143.7376238598,        2.6108770486,        1.2479611417,      -20.7573574878,       -0.0007047331,        0.0063172062,       -0.0032527175,       -0.0147111858,        0.0000830329,       -0.0005475252,        0.0007860514,        0.0005216807,       -0.0011519339
             0.41538,        0.0000000000,      276.8203793131,        0.0168288215,      315.7703573580,       -0.2726938469,      142.9951887392,        2.6460929492,        1.3396093387,      -22.1589385957,       -0.0007068975,        0.0063677176,       -0.0033131157,       -0.0146212256,        0.0000929695,       -0.0005809813,        0.0007726717,        0.0005084660,       -0.0012278010
             0.43846,        0.0000000000,      275.8992186557,        0.0168144642,      314.2238764422,       -0.3373191295,      142.2527536187,        2.6813088498,        1.4312575356,      -23.5605197037,       -0.0007090620,        0.0064182290,       -0.0033735139,       -0.0145312653,        0.0001029061,       -0.0006144374,        0.0007592920,        0.0004952513,       -0.0013036680
             0.46154,        0.0000000000,      275.0025118675,        0.0168001069,      312.6773955263,       -0.4019444122,      141.5103184982,        2.7165247504,        1.5229057325,      -24.9621008116,       -0.0007112265,        0.0064687405,       -0.0034339121,       -0.0144413051,        0.0001128427,       -0.0006478935,        0.0007459123,        0.0004820366,       -0.0013795350
             0.48462,        0.0000000000,      273.0457833381,        0.0167651824,      309.9564363454,       -0.3703083184,      140.5769816184,        2.7370504193,        1.6162356500,      -26.4233197155,       -0.0007139362,        0.0065288162,       -0.0035098278,       -0.0143220523,        0.0001263890,       -0.0006803452,        0.0007297977,        0.0004661044,       -0.0014608089
             0.50769,        0.0000000000,      270.9040692845,        0.0167261445,      307.0005815115,       -0.3194199495,      139.6054643868,        2.7546380418,        1.7099019115,      -27.8964661785,       -0.0007167550,        0.0065908048,       -0.0035888471,       -0.0141969410,        0.0001406572,       -0.0007125960,        0.0007131362,        0.0004496287,       -0.0015431642
             0.53077,        0.0000000000,      268.7957004565,        0.0166871066,      304.0447266775,       -0.2685315805,      138.6339471552,        2.7722256643,        1.8035681731,      -29.3696126416,       -0.0007195738,        0.0066527933,       -0.0036678664,       -0.0140718297,        0.0001549254,       -0.0007448468,        0.0006964748,        0.0004331530,       -0.0016255195
             0.55385,        0.0000000000,      266.7214676131,        0.0166480687,      301.0888718436,       -0.2176432115,      137.6624299236,        2.7898132868,        1.8972344346,      -30.8427591046,       -0.0007223925,        0.0067147819,       -0.0037468857,       -0.0139467184,        0.0001691937,       -0.0007770975,        0.0006798133,        0.0004166774,       -0.0017078747
             0.57692,        0.0000000000,      264.2116438253,        0.0166099186,      297.5499810305,       -0.2168761872,      136.5570450534,        2.8007505875,        1.9798399498,      -32.2853667230,       -0.0007258151,        0.0067902589,       -0.0038427171,       -0.0137991296,        0.0001864323,       -0.0007973495,        0.0006606130,        0.0003973367,       -0.0017969423
