             xPos,                zPres,               zSeqv,               zEeqv,               zSx,                 zSy,                 zSz,                 zSxy,                zSyz,                zSxz,                zEx,                 zEy,                 zEz,                 zExy,                zEyz,                zExz,                zUx,                 zUy,                 zUz     
             0.00000,        0.0000000000,      301.6366505738,        0.0172237287,      348.2347902779,       -0.0482019515,      175.5171546545,        1.0274796954,        0.0827108987,       -1.1063332737,       -0.0007329314,        0.0051994285,       -0.0017848815,       -0.0161621076,        0.0000029814,       -0.0000335516,        0.0012774637,        0.0006614031,        0.0000000000
             0.03077,        0.0000000000,      301.5735979831,        0.0172219865,      348.1562353351,       -0.0488926423,      175.4598023368,        1.0308591062,        0.1078982238,       -1.4521822086,       -0.0007329532,        0.0052010992,       -0.0017872298,       -0.0161586749,        0.0000039124,       -0.0000441629,        0.0012764402,        0.0006606897,       -0.0000543666
             0.06154,        0.0000000000,      301.5117448762,        0.0172202443,      348.0776803923,       -0.0495833331,      175.4024500192,        1.0342385171,        0.1330855489,       -1.7980311436,       -0.0007329749,        0.0052027699,       -0.0017895781,       -0.0161552421,        0.0000048433,       -0.0000547741,        0.0012754166,        0.0006599764,       -0.0001087332
             0.09231,        0.0000000000,      301.4510919916,        0.0172185021,      347.9991254495,       -0.0502740238,      175.3450977015,        1.0376179279,        0.1582728739,       -2.1438800786,       -0.0007329967,        0.0052044405,       -0.0017919264,       -0.0161518094,        0.0000057742,       -0.0000653854,        0.0012743931,        0.0006592630,       -0.0001630999
             0.12308,        0.0000000000,      301.3006618989,        0.0172143214,      347.8086882183,       -0.0504328713,      175.2072752796,        1.0455139442,        0.2015030163,       -2.7354271682,       -0.0007334139,        0.0052084957,       -0.0017972461,       -0.0161434690,        0.0000073134,       -0.0000837504,        0.0012719239,        0.0006575336,       -0.0002177987
             0.15385,        0.0000000000,      301.1155837279,        0.0172090957,      347.5703014350,       -0.0503637858,      175.0349656702,        1.0553456485,        0.2524657946,       -3.4322734670,       -0.0007340005,        0.0052135728,       -0.0018038392,       -0.0161330253,        0.0000091134,       -0.0001054384,        0.0012688350,        0.0006553686,       -0.0002726400
             0.18462,        0.0000000000,      300.9354105792,        0.0172038699,      347.3319146517,       -0.0502947003,      174.8626560608,        1.0651773528,        0.3034285730,       -4.1291197658,       -0.0007345872,        0.0052186499,       -0.0018104324,       -0.0161225816,        0.0000109134,       -0.0001271265,        0.0012657461,        0.0006532037,       -0.0003274812
             0.21538,        0.0000000000,      300.7037926554,        0.0171971031,      347.0276128165,       -0.0503223060,      174.6424869378,        1.0787546993,        0.3545796314,       -4.8391276097,       -0.0007352016,        0.0052251685,       -0.0018190223,       -0.0161090436,        0.0000126485,       -0.0001494640,        0.0012617963,        0.0006504333,       -0.0003826571
             0.24615,        0.0000000000,      300.3929284045,        0.0171880247,      346.6244384035,       -0.0504949483,      174.3505285445,        1.0979505089,        0.4060131099,       -5.5688777713,       -0.0007358576,        0.0052338493,       -0.0018306074,       -0.0160908643,        0.0000142862,       -0.0001727757,        0.0012565550,        0.0006467546,       -0.0004383350
             0.27692,        0.0000000000,      300.0875291761,        0.0171789463,      346.2212639905,       -0.0506675905,      174.0585701511,        1.1171463184,        0.4574465883,       -6.2986279330,       -0.0007365137,        0.0052425301,       -0.0018421925,       -0.0160726850,        0.0000159239,       -0.0001960875,        0.0012513138,        0.0006430759,       -0.0004940128
             0.30769,        0.0000000000,      299.7725665303,        0.0171695675,      345.8003444841,       -0.0507912585,      173.7545756062,        1.1370782995,        0.5090324023,       -7.0333810540,       -0.0007371482,        0.0052518646,       -0.0018546049,       -0.0160534328,        0.0000176351,       -0.0002195294,        0.0012458295,        0.0006392325,       -0.0005498505
             0.33846,        0.0000000000,      299.3281641861,        0.0171574854,      345.2197191376,       -0.0504741583,      173.3422556972,        1.1636358232,        0.5619892355,       -7.8131608098,       -0.0007375891,        0.0052670812,       -0.0018744633,       -0.0160245243,        0.0000200086,       -0.0002441425,        0.0012381589,        0.0006339058,       -0.0006071268
             0.36923,        0.0000000000,      298.8901363263,        0.0171454033,      344.6390937912,       -0.0501570581,      172.9299357881,        1.1901933470,        0.6149460687,       -8.5929405655,       -0.0007380301,        0.0052822979,       -0.0018943217,       -0.0159956158,        0.0000223821,       -0.0002687556,        0.0012304883,        0.0006285792,       -0.0006644030
             0.40000,        0.0000000000,      298.4585110173,        0.0171333212,      344.0584684447,       -0.0498399579,      172.5176158790,        1.2167508707,        0.6679029019,       -9.3727203213,       -0.0007384710,        0.0052975145,       -0.0019141801,       -0.0159667074,        0.0000247556,       -0.0002933687,        0.0012228177,        0.0006232526,       -0.0007216793
             0.43077,        0.0000000000,      297.9036546232,        0.0171187135,      343.3205046111,       -0.0503268421,      172.0045629125,        1.2495431069,        0.7220390689,      -10.2071366402,       -0.0007385269,        0.0053184478,       -0.0019414658,       -0.0159283726,        0.0000265419,       -0.0003186516,        0.0012131755,        0.0006164663,       -0.0007809184
             0.46154,        0.0000000000,      297.3239910358,        0.0171034744,      342.5432061558,       -0.0510147225,      171.4663266817,        1.2838940211,        0.7764700695,      -11.0552120999,       -0.0007384865,        0.0053408102,       -0.0019706084,       -0.0158876812,        0.0000281814,       -0.0003441019,        0.0012030404,        0.0006093150,       -0.0008406483
             0.49231,        0.0000000000,      296.7521075482,        0.0170882353,      341.7659077004,       -0.0517026029,      170.9280904509,        1.3182449353,        0.8309010700,      -11.9032875596,       -0.0007384461,        0.0053631727,       -0.0019997510,       -0.0158469898,        0.0000298209,       -0.0003695522,        0.0011929053,        0.0006021638,       -0.0009003781
             0.52308,        0.0000000000,      296.1009820673,        0.0170706498,      340.8803623864,       -0.0527703532,      170.3223086922,        1.3590313651,        0.8869414321,      -12.7975462569,       -0.0007385777,        0.0053875654,       -0.0020316539,       -0.0158010462,        0.0000321856,       -0.0003957115,        0.0011816462,        0.0005939940,       -0.0009617955
             0.55385,        0.0000000000,      295.3721082907,        0.0170507180,      339.8865702139,       -0.0542179734,      169.6489814055,        1.4062533106,        0.9445911558,      -13.7379881917,       -0.0007388814,        0.0054139884,       -0.0020663172,       -0.0157498503,        0.0000352755,       -0.0004225796,        0.0011692631,        0.0005848056,       -0.0010249005
             0.58462,        0.0000000000,      294.6531043538,        0.0170307862,      338.8927780413,       -0.0556655937,      168.9756541188,        1.4534752561,        1.0022408796,      -14.6784301266,       -0.0007391850,        0.0054404114,       -0.0021009805,       -0.0156986544,        0.0000383654,       -0.0004494478,        0.0011568801,        0.0005756172,       -0.0010880054
             0.61538,        0.0000000000,      293.9040859993,        0.0170100002,      337.8483283373,       -0.0569211369,      168.2749717688,        1.5025456438,        1.0603150433,      -15.6430230594,       -0.0007397085,        0.0054682819,       -0.0021372698,       -0.0156442190,        0.0000416092,       -0.0004768897,        0.0011439003,        0.0005659514,       -0.0011518674
             0.64615,        0.0000000000,      293.0069759955,        0.0169857973,      336.6012485073,       -0.0574083723,      167.4648691656,        1.5590098004,        1.1200869669,      -16.7042199842,       -0.0007411114,        0.0055019423,       -0.0021800636,       -0.0155768252,        0.0000454682,       -0.0005066267,        0.0011285339,        0.0005543760,       -0.0012187578
