             xPos,                zPres,               zSeqv,               zEeqv,               zSx,                 zSy,                 zSz,                 zSxy,                zSyz,                zSxz,                zEx,                 zEy,                 zEz,                 zExy,                zEyz,                zExz,                zUx,                 zUy,                 zUz     
             0.00000,        0.0000000000,      320.3150728062,        0.0173817493,      367.7256691566,       -0.6323851084,      212.4203039035,       -0.8642283802,        0.0072698984,        0.1576740282,       -0.0012699467,        0.0045227566,       -0.0002854214,       -0.0157786575,        0.0000021460,       -0.0000019838,        0.0020550434,        0.0002640554,        0.0000000000
             0.06923,        0.0000000000,      320.3036215415,        0.0173815466,      367.7146091931,       -0.6304277797,      212.4109910978,       -0.8639421112,        0.0119454366,        0.2628395192,       -0.0012699238,        0.0045230561,       -0.0002858380,       -0.0157783570,        0.0000039875,       -0.0000038038,        0.0020548293,        0.0002641142,       -0.0000194590
             0.13846,        0.0000000000,      320.2844960932,        0.0173811879,      367.6941985428,       -0.6293734191,      212.3886051747,       -0.8628102817,        0.0188284561,        0.4297108042,       -0.0012698397,        0.0045236569,       -0.0002867365,       -0.0157776790,        0.0000066353,       -0.0000063990,        0.0020543526,        0.0002642302,       -0.0000389615
             0.20769,        0.0000000000,      320.2576356314,        0.0173806659,      367.6643230063,       -0.6290040721,      212.3535123799,       -0.8608940313,        0.0273217242,        0.6429198957,       -0.0012696936,        0.0045245540,       -0.0002881104,       -0.0157766279,        0.0000098935,       -0.0000095958,        0.0020536139,        0.0002644032,       -0.0000585204
             0.27692,        0.0000000000,      320.2173767249,        0.0173798599,      367.6195162271,       -0.6286281438,      212.3008710059,       -0.8580796501,        0.0353915323,        0.8526827603,       -0.0012694490,        0.0045258767,       -0.0002901749,       -0.0157750302,        0.0000131365,       -0.0000128727,        0.0020524791,        0.0002646624,       -0.0000782265
             0.34615,        0.0000000000,      320.1634814128,        0.0173787485,      367.5608035643,       -0.6265633927,      212.2358637304,       -0.8547694969,        0.0429271544,        1.0589164850,       -0.0012691285,        0.0045275178,       -0.0002927594,       -0.0157729923,        0.0000163174,       -0.0000161907,        0.0020510178,        0.0002649936,       -0.0000980968
             0.41538,        0.0000000000,      320.1008625900,        0.0173774208,      367.4922786159,       -0.6243706507,      212.1603852871,       -0.8508912504,        0.0496806932,        1.2615237503,       -0.0012687295,        0.0045293963,       -0.0002957630,       -0.0157705910,        0.0000194440,       -0.0000195734,        0.0020492818,        0.0002653759,       -0.0001181213
             0.48462,        0.0000000000,      320.0300041562,        0.0173758581,      367.4131375255,       -0.6237209660,      212.0708183967,       -0.8460533206,        0.0549475886,        1.4584112452,       -0.0012682059,        0.0045315517,       -0.0002993027,       -0.0157677132,        0.0000224956,       -0.0000230831,        0.0020471786,        0.0002658139,       -0.0001383734
             0.55385,        0.0000000000,      319.9485419347,        0.0173739916,      367.3213976647,       -0.6238320969,      211.9674856028,       -0.8408779225,        0.0604994280,        1.6470228778,       -0.0012675462,        0.0045340473,       -0.0003034574,       -0.0157642630,        0.0000255447,       -0.0000268196,        0.0020446364,        0.0002663045,       -0.0001589493
             0.62308,        0.0000000000,      319.8588706491,        0.0173719000,      367.2199296649,       -0.6242585281,      211.8555548672,       -0.8354531994,        0.0662069433,        1.8290815982,       -0.0012668104,        0.0045367956,       -0.0003080363,       -0.0157603987,        0.0000286037,       -0.0000307760,        0.0020417816,        0.0002668254,       -0.0001797709
