             xPos,                zPres,               zSeqv,               zEeqv,               zSx,                 zSy,                 zSz,                 zSxy,                zSyz,                zSxz,                zEx,                 zEy,                 zEz,                 zExy,                zEyz,                zExz,                zUx,                 zUy,                 zUz     
             0.00000,        0.0000000000,      313.8064085448,        0.0173578865,      363.7021578745,        2.3378082406,      206.1721444043,       -0.1629550258,       -0.0446814348,        0.2639005277,       -0.0008034576,        0.0044962015,       -0.0007627423,       -0.0166682486,        0.0000005734,        0.0000030100,        0.0017926468,        0.0005408968,        0.0000000000
             0.04615,        0.0000000000,      313.9591622399,        0.0173601039,      363.9205649971,        2.3601276049,      206.0596350944,       -0.2907918652,       -0.2069982945,        0.2690224942,       -0.0007986618,        0.0044964339,       -0.0007671138,       -0.0166725399,       -0.0000057820,       -0.0000015126,        0.0017922778,        0.0005410157,       -0.0000347904
             0.09231,        0.0000000000,      314.1125140636,        0.0173623213,      364.1389721197,        2.3824469692,      205.9471257845,       -0.4186287045,       -0.3693151543,        0.2741444607,       -0.0007938661,        0.0044966662,       -0.0007714852,       -0.0166768312,       -0.0000121375,       -0.0000060352,        0.0017919087,        0.0005411345,       -0.0000695809
             0.13846,        0.0000000000,      314.8163166232,        0.0173772397,      364.4651946413,        1.8705791735,      205.5724457828,       -0.2557094016,       -0.5135447953,        0.2709466130,       -0.0007924051,        0.0045000069,       -0.0007791560,       -0.0166697710,       -0.0000167672,       -0.0000139913,        0.0017878818,        0.0005388729,       -0.0001056135
             0.18462,        0.0000000000,      315.6586450864,        0.0173953333,      364.8183710126,        1.2251645878,      205.1322231082,       -0.0201010631,       -0.6532526317,        0.2656688118,       -0.0007917779,        0.0045041246,       -0.0007876516,       -0.0166598729,       -0.0000209656,       -0.0000228056,        0.0017829404,        0.0005360161,       -0.0001419566
             0.23077,        0.0000000000,      316.5593919377,        0.0174141410,      365.2103187113,        0.5435882474,      204.6034415701,        0.2331087655,       -0.6220921538,        0.1967210470,       -0.0007896180,        0.0045089457,       -0.0007988231,       -0.0166480028,       -0.0000172284,       -0.0000330111,        0.0017771028,        0.0005328412,       -0.0001780352
             0.27692,        0.0000000000,      317.5000101638,        0.0174334248,      365.6281139615,       -0.1620959295,      204.0156207897,        0.4980529210,       -0.4770194663,        0.0853266399,       -0.0007864364,        0.0045142358,       -0.0008117787,       -0.0166348180,       -0.0000082008,       -0.0000441439,        0.0017706677,        0.0005294541,       -0.0002139375
             0.32308,        0.0000000000,      318.1288515246,        0.0174452387,      365.9652085309,       -0.5883503160,      203.5061013243,        0.6215467854,       -0.2882176164,       -0.1276749856,       -0.0007811863,        0.0045193350,       -0.0008251936,       -0.0166253809,        0.0000025856,       -0.0000592757,        0.0017647527,        0.0005270677,       -0.0002508217
             0.36923,        0.0000000000,      318.2898061722,        0.0174458475,      366.1812520792,       -0.5954600168,      203.1140338314,        0.5328652131,       -0.0338220229,       -0.4930874385,       -0.0007728333,        0.0045241481,       -0.0008392975,       -0.0166215652,        0.0000160103,       -0.0000804061,        0.0017596178,        0.0005261824,       -0.0002891789
             0.41538,        0.0000000000,      318.2855168755,        0.0174439439,      366.2237691864,       -0.5737251477,      202.7584375592,        0.4524736121,        0.1857000050,       -0.8775274782,       -0.0007672995,        0.0045301737,       -0.0008523489,       -0.0166168021,        0.0000278309,       -0.0001024099,        0.0017540995,        0.0005252571,       -0.0003276825
             0.46154,        0.0000000000,      317.6116198215,        0.0174319906,      365.5721805296,       -0.4366119990,      202.5487261700,        0.4052418957,        0.2657277704,       -1.3380778648,       -0.0007730424,        0.0045410495,       -0.0008611899,       -0.0166082494,        0.0000332346,       -0.0001279075,        0.0017470475,        0.0005241720,       -0.0003667719
             0.50769,        0.0000000000,      316.9398584646,        0.0174200372,      364.9205918728,       -0.2994988502,      202.3390147808,        0.3580101794,        0.3457555358,       -1.7986282514,       -0.0007787854,        0.0045519253,       -0.0008700310,       -0.0165996968,        0.0000386383,       -0.0001534051,        0.0017399954,        0.0005230869,       -0.0004058612
             0.55385,        0.0000000000,      316.1303053747,        0.0174057192,      364.1257635467,       -0.1480172863,      202.0858561004,        0.3195881858,        0.3699557929,       -2.0185549341,       -0.0007873259,        0.0045653930,       -0.0008795487,       -0.0165884474,        0.0000416079,       -0.0001685326,        0.0017310354,        0.0005215094,       -0.0004462205
             0.60000,        0.0000000000,      315.3212985021,        0.0173914012,      363.3309352206,        0.0034642777,      201.8326974200,        0.2811661923,        0.3941560500,       -2.2384816167,       -0.0007958665,        0.0045788608,       -0.0008890664,       -0.0165771980,        0.0000445776,       -0.0001836600,        0.0017220754,        0.0005199319,       -0.0004865799
             0.64615,        0.0000000000,      314.8198413225,        0.0173805856,      362.7827999682,        0.0271093198,      201.3854997064,        0.3341219054,        0.4056777882,       -2.4299076762,       -0.0007989539,        0.0045905140,       -0.0009026077,       -0.0165615277,        0.0000452093,       -0.0001960201,        0.0017117933,        0.0005176324,       -0.0005274470
             0.69231,        0.0000000000,      314.3956819705,        0.0173706456,      362.2963379842,        0.0187952315,      200.8897922346,        0.4099220452,        0.4140298968,       -2.6142085800,       -0.0008006781,        0.0046017135,       -0.0009171549,       -0.0165447522,        0.0000452566,       -0.0002076883,        0.0017011807,        0.0005151523,       -0.0005684411
             0.73846,        0.0000000000,      313.9062402442,        0.0173623795,      361.7447262371,        0.0218911484,      200.3505419378,        0.4464272542,        0.4443151229,       -2.8523259267,       -0.0008019800,        0.0046160109,       -0.0009357202,       -0.0165320269,        0.0000456533,       -0.0002192903,        0.0016901284,        0.0005124571,       -0.0006105885
             0.78462,        0.0000000000,      313.3737831869,        0.0173552294,      361.1496813144,        0.0325937353,      199.7822630911,        0.4567358427,        0.4892224275,       -3.1263209020,       -0.0008030004,        0.0046323735,       -0.0009569643,       -0.0165220018,        0.0000462829,       -0.0002308482,        0.0016787830,        0.0005096185,       -0.0006535048
             0.83077,        0.0000000000,      312.8282195520,        0.0173485488,      360.5327198969,        0.0384654187,      199.1972430534,        0.4773929338,        0.5271002808,       -3.4276610599,       -0.0008033987,        0.0046485246,       -0.0009788417,       -0.0165137949,        0.0000477598,       -0.0002436666,        0.0016669785,        0.0005064753,       -0.0006974432
             0.87692,        0.0000000000,      312.2628194095,        0.0173425728,      359.8828837371,        0.0370907469,      198.5871112295,        0.5135727790,        0.5544339571,       -3.7700189916,       -0.0008028639,        0.0046643584,       -0.0010016690,       -0.0165083153,        0.0000505078,       -0.0002583759,        0.0016544856,        0.0005028752,       -0.0007429149
             0.92308,        0.0000000000,      311.6800802879,        0.0173347485,      359.2120111800,        0.0366636738,      197.9613636782,        0.5490690172,        0.5829928986,       -4.1273137145,       -0.0008021001,        0.0046797374,       -0.0010244534,       -0.0165006430,        0.0000537210,       -0.0002745249,        0.0016415744,        0.0004991150,       -0.0007888507
             0.96923,        0.0000000000,      311.0241759808,        0.0173195315,      358.4569930337,        0.0400269952,      197.2731532173,        0.5818308277,        0.6164529010,       -4.5443556017,       -0.0008004205,        0.0046932977,       -0.0010470661,       -0.0164842001,        0.0000587951,       -0.0002964329,        0.0016269903,        0.0004947145,       -0.0008366425
             1.01538,        0.0000000000,      310.3702921059,        0.0173043144,      357.7019748874,        0.0433903166,      196.5849427565,        0.6145926383,        0.6499129034,       -4.9613974889,       -0.0007987408,        0.0047068579,       -0.0010696788,       -0.0164677572,        0.0000638693,       -0.0003183408,        0.0016124061,        0.0004903139,       -0.0008844344
             1.06154,        0.0000000000,      309.6230500569,        0.0172844371,      356.8269274377,        0.0406345572,      195.8216397936,        0.6408994199,        0.6873341597,       -5.4498276754,       -0.0007990966,        0.0047292113,       -0.0011000795,       -0.0164294054,        0.0000679527,       -0.0003396931,        0.0015952383,        0.0004849300,       -0.0009345536
             1.10769,        0.0000000000,      308.8785259313,        0.0172645597,      355.9518799879,        0.0378787977,      195.0583368308,        0.6672062015,        0.7247554160,       -5.9382578619,       -0.0007994525,        0.0047515646,       -0.0011304803,       -0.0163910536,        0.0000720361,       -0.0003610453,        0.0015780704,        0.0004795461,       -0.0009846728
             1.15385,        0.0000000000,      308.0576132042,        0.0172438370,      354.9777904395,        0.0302883885,      194.2145136992,        0.7009108732,        0.7671407289,       -6.4863151761,       -0.0007978401,        0.0047831762,       -0.0011730518,       -0.0163421518,        0.0000725356,       -0.0003837571,        0.0015594504,        0.0004733313,       -0.0010376447
             1.20000,        0.0000000000,      307.2204710826,        0.0172229030,      353.9789403664,        0.0214893169,      193.3505605254,        0.7364650175,        0.8107670558,       -7.0492792723,       -0.0007957357,        0.0048171024,       -0.0012186660,       -0.0162906125,        0.0000721392,       -0.0004068088,        0.0015404675,        0.0004669089,       -0.0010913299
             1.24615,        0.0000000000,      306.3087088882,        0.0171974078,      352.8898446026,        0.0168596805,      192.4155978415,        0.7844587702,        0.8589952500,       -7.6738624646,       -0.0007932165,        0.0048460657,       -0.0012605363,       -0.0162404296,        0.0000743439,       -0.0004276658,        0.0015206462,        0.0004598200,       -0.0011482432
             1.29231,        0.0000000000,      305.3496082924,        0.0171688718,      351.7405850451,        0.0150096678,      191.4332954842,        0.8407455950,        0.9102913556,       -8.3395250545,       -0.0007904210,        0.0048717204,       -0.0012999106,       -0.0161911509,        0.0000782827,       -0.0004470597,        0.0015002661,        0.0004522868,       -0.0012073087
             1.33846,        0.0000000000,      304.3362463829,        0.0171377653,      350.5174832900,        0.0134354125,      190.4093687141,        0.8971918614,        0.9606889654,       -9.0593149406,       -0.0007887052,        0.0048965930,       -0.0013380128,       -0.0161380428,        0.0000818965,       -0.0004685962,        0.0014788290,        0.0004441542,       -0.0012675037
             1.38462,        0.0000000000,      303.2404364978,        0.0171028029,      349.1836182389,        0.0122747935,      189.3230053247,        0.9538772900,        1.0097388313,       -9.8602957712,       -0.0007886091,        0.0049202923,       -0.0013742068,       -0.0160791904,        0.0000850228,       -0.0004933465,        0.0014558063,        0.0004351224,       -0.0013293929
             1.43077,        0.0000000000,      302.1206929842,        0.0170678772,      347.8077024495,        0.0090516113,      188.2137154869,        1.0118528552,        1.0596410973,      -10.6911836618,       -0.0007884377,        0.0049475940,       -0.0014144218,       -0.0160162704,        0.0000879141,       -0.0005190179,        0.0014321596,        0.0004257265,       -0.0013922109
             1.47692,        0.0000000000,      300.8846856120,        0.0170330978,      346.2635837068,       -0.0024218236,      187.0127198556,        1.0749889673,        1.1129529633,      -11.6416997922,       -0.0007879653,        0.0049893052,       -0.0014707204,       -0.0159370799,        0.0000898658,       -0.0005483731,        0.0014060169,        0.0004148739,       -0.0014587442
             1.52308,        0.0000000000,      299.6591705522,        0.0169983185,      344.7194649641,       -0.0138952584,      185.8117242244,        1.1381250794,        1.1662648293,      -12.5922159227,       -0.0007874930,        0.0050310163,       -0.0015270190,       -0.0158578893,        0.0000918174,       -0.0005777283,        0.0013798742,        0.0004040213,       -0.0015252774
             1.56923,        0.0000000000,      298.2315067627,        0.0169598462,      342.9161910437,       -0.0118308590,      184.4739398752,        1.2099261856,        1.2245370076,      -13.7095345165,       -0.0007870069,        0.0050836294,       -0.0015961914,       -0.0157612894,        0.0000933110,       -0.0006067549,        0.0013507645,        0.0003911185,       -0.0015984465
             1.61538,        0.0000000000,      296.8185600477,        0.0169213739,      341.1129171234,       -0.0097664596,      183.1361555260,        1.2817272918,        1.2828091858,      -14.8268531102,       -0.0007865207,        0.0051362425,       -0.0016653638,       -0.0156646895,        0.0000948046,       -0.0006357815,        0.0013216547,        0.0003782158,       -0.0016716156
             1.66154,        0.0000000000,      295.2416550860,        0.0168750117,      339.0717055076,       -0.0086453228,      181.6962570399,        1.3681574884,        1.3388115735,      -16.0939767821,       -0.0007868269,        0.0051867545,       -0.0017333889,       -0.0155572681,        0.0000954798,       -0.0006663955,        0.0012903279,        0.0003634598,       -0.0017503708
             1.70769,        0.0000000000,      293.6399191831,        0.0168266769,      336.9710094679,       -0.0077600016,      180.2308300195,        1.4582449576,        1.3942465136,      -17.3985517235,       -0.0007873310,        0.0052367412,       -0.0018011271,       -0.0154471413,        0.0000959503,       -0.0006974064,        0.0012584468,        0.0003482406,       -0.0018305224
             1.75385,        0.0000000000,      291.9004422446,        0.0167734091,      334.6520522698,       -0.0060050907,      178.6876894140,        1.5626398190,        1.4464938697,      -18.8511580199,       -0.0007886295,        0.0052892570,       -0.0018721112,       -0.0153241517,        0.0000979373,       -0.0007345434,        0.0012244150,        0.0003313971,       -0.0019147426
             1.80000,        0.0000000000,      290.0831321258,        0.0167168525,      332.1875876328,       -0.0036704532,      177.0927397515,        1.6765729419,        1.4966161697,      -20.4024518863,       -0.0007904575,        0.0053434587,       -0.0019452592,       -0.0151925869,        0.0001009352,       -0.0007757645,        0.0011889494,        0.0003134707,       -0.0020016751
             1.84615,        0.0000000000,      288.1831150270,        0.0166624733,      329.5463624957,       -0.0130756436,      175.4450961255,        1.7912183573,        1.5530061019,      -22.0722307750,       -0.0007926573,        0.0054118599,       -0.0020334700,       -0.0150422177,        0.0001050448,       -0.0008191373,        0.0011513950,        0.0002942218,       -0.0020920498
             1.89231,        0.0000000000,      286.1532560840,        0.0166113603,      326.6399966087,       -0.0400905759,      173.7184115539,        1.9069322114,        1.6187974825,      -23.9197371970,       -0.0007954148,        0.0055015604,       -0.0021442748,       -0.0148636420,        0.0001108221,       -0.0008657379,        0.0011107074,        0.0002729890,       -0.0021875879
             1.93846,        0.0000000000,      284.1005948160,        0.0165600294,      323.5967019626,       -0.1036475193,      171.9321986445,        2.0286057089,        1.6993975177,      -25.8324944286,       -0.0007981551,        0.0055959972,       -0.0022610262,       -0.0146745248,        0.0001181571,       -0.0009125348,        0.0010690037,        0.0002510236,       -0.0022858358
